Unnamed: 0,Linkedin_name,longitude,latitude,name,foundingYear,firm_type,sector,staffCount,staffCountRange,country,headquarter,orgtype,Biomass_degree_centrality,Biofuels_degree_centrality,Biogas_degree_centrality,Wind_degree_centrality,Offshore_Wind_degree_centrality,Solar_degree_centrality,Concentrated_Solar_degree_centrality,Waste_to_Heat_degree_centrality,Direct_Air_Capture_degree_centrality,Carbon_Capture_And_Storage_degree_centrality,Biochar_degree_centrality,Carbon_Direct_Removal_degree_centrality,BECCS_degree_centrality,Hydrogen_degree_centrality,Nuclear_Energy_degree_centrality,Nuclear_Fusion_degree_centrality,Hydro_Energy_degree_centrality,Geothermal_degree_centrality,Battery_degree_centrality,Electric_Vehicles_degree_centrality,Sustainable_Aviation_Fuels_degree_centrality,E_Fuels_degree_centrality,Marine_Energy_degree_centrality,Heat_Pumps_degree_centrality,Railway_degree_centrality,Electric_Shipping_degree_centrality,Electric_Aviation_degree_centrality,Fuel_Cell_Aviation_degree_centrality
483,darby-group,39.7837,-100.446,Darby Group,,"Other

The provided text ""nan"" (which typically stands for 'not a number') is not descriptive of any organization, and thus cannot be classified into any of the provided categories. It seems to be a placeholder or an error in data extraction.",Other Sectors,25.0,"{'start': 501, 'end': 1000}",US,1.0,Other,,,,,,,,,,,0.0041450777202072,,,,,,,,,,,,,,,,,
491,zenput,42.3659,-71.0611,Zenput,,Service Provider,Other Sectors,37.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,abel-construction-company,39.7837,-100.446,ABEL Construction Company,,Service Provider,Other Construction,159.0,"{'start': 201, 'end': 500}",US,1.0,Service sector,,,,,,2.7013885136960397e-05,,,,,,,,,,,,,,,,,,,,,,
525,mcminn-county-economic-development-authority,41.6558,-87.972,McMinn County Economic Development Authority,1985.0,Governmental Organization,Other Sectors,5.0,"{'start': 2, 'end': 10}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,4.187780057791365e-05,,,,,,,,,
536,the-confederated-tribes-of-grand-ronde,39.7837,-100.446,The Confederated Tribes of Grand Ronde,,Governmental Organization,Other Sectors,297.0,"{'start': 201, 'end': 500}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,,,,,
538,mdusd,39.7837,-100.446,Mt. Diablo Unified School District,,Governmental Organization,Other Sectors,1299.0,"{'start': 1001, 'end': 5000}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,0.0002473498233215,,,,,,,,
551,y-combinator,39.7837,-100.446,Y Combinator,2005.0,Accelerator/Incubator,Other Sectors,1959.0,"{'start': 51, 'end': 200}",US,1.0,Incubators/Accelerators,,,,,,0.0002161110810956,,,0.0044014084507042,0.0006596306068601,0.0020725388601036,0.0013519603424966,,0.0001834778221182,,,,,0.0005025336069349,0.0002826855123674,,,,,,,0.0032213529682466,0.0032223415682062
552,standard-nutrition,39.7837,-100.446,Standard Nutrition Company,1886.0,Service Provider,Agriculture,254.0,"{'start': 201, 'end': 500}",US,1.0,Service sector,,,0.000145836371591,,,2.7013885136960397e-05,,,,,,,,,,,,,,,,,,,,,,
560,ashoka,38.8942,-77.0696,Ashoka,1982.0,"Non Governmental Organization, International Organization",Other Sectors,1597.0,"{'start': 501, 'end': 1000}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,0.0001766784452296,,,,,,,,
565,icom-north-america,42.5011,-83.577,icom North America,,Manufacturer,Automotive,16.0,"{'start': 11, 'end': 50}",US,1.0,Other industry,,0.0001978239366963,,,,,,,,,,,,,,,,,,,,,,,,,,
567,in-q-tel,39.7837,-100.446,In-Q-Tel,1999.0,Venture Capital,Other Sectors,261.0,"{'start': 51, 'end': 200}",US,1.0,Venture Capital,,,,,,,,,,,,,,,,,,,0.0003350224046233,,,,,,,,,
